,id,env,H_low,H_high,H_p,H_ev,L_low,L_high,L_p,L_ev
0,23,1,39,176,0.94649,46.33,31,161,0.96,36.2
1,20,1,0,80,0.65181,27.86,0,176,0.94843,9.08
2,7,1,0,152,0.87737,18.64,2,128,0.96,7.04
3,27,0,44,77,0.51645,59.96,7,53,0.56375,27.07
4,27,0,26,80,0.50389,52.79,26,40,0.57857,31.9
5,31,0,26,78,0.46833,53.65,26,49,0.52273,36.98
6,22,1,26,156,0.87377,42.41,1,148,0.9164,13.29
7,28,0,32,62,0.46063,48.18,33,44,0.5327,38.14
8,14,1,46,172,0.78369,73.26,44,172,0.96,49.12
9,22,1,5,105,0.7689,28.11,6,126,0.90506,17.39
10,4,0,38,71,0.50404,54.37,30,67,0.63654,43.45
11,17,0,3,41,0.49063,22.36,4,15,0.72265,7.05
12,16,0,44,65,0.59287,52.55,16,48,0.42924,34.26
13,11,0,9,46,0.45356,29.22,11,27,0.52729,18.56
14,33,1,0,181,0.82876,30.99,7,140,0.92325,17.21
15,23,0,22,84,0.50094,52.94,23,54,0.49676,38.6
16,26,1,42,156,0.91177,52.06,29,174,0.94162,37.47
17,7,0,0,42,0.55438,18.72,2,13,0.54061,7.05
18,10,0,28,41,0.51124,34.35,10,29,0.5269,18.99
19,34,0,52,67,0.39767,61.03,7,56,0.6536,23.97
20,7,1,61,136,0.9333,66.0,37,163,0.88135,51.95
21,30,0,13,67,0.50795,39.57,23,39,0.68205,28.09
22,43,1,17,194,0.89851,34.96,19,144,0.96,24.0
23,12,0,51,78,0.48655,64.86,34,58,0.76607,39.61
24,6,0,15,43,0.36857,32.68,7,24,0.55389,14.58
25,25,1,28,144,0.82947,47.78,28,120,0.95375,32.26
26,21,1,51,157,0.92097,59.38,29,134,0.83819,45.99
27,42,0,19,75,0.54074,44.72,19,36,0.46386,28.11
28,1,1,71,180,0.87079,85.08,39,107,0.76932,54.69
29,4,1,0,196,0.83191,32.95,4,151,0.96,9.88
30,23,1,22,172,0.79419,52.87,23,191,0.90739,38.56
31,3,1,4,157,0.81103,32.91,11,143,0.96,16.28
32,44,0,52,97,0.60473,69.79,53,66,0.5671,58.63
33,6,0,21,94,0.54623,54.13,22,39,0.53347,29.93
34,1,0,71,98,0.47586,85.15,39,75,0.5589,54.88
35,46,1,67,120,0.83007,76.01,18,163,0.82691,43.1
36,49,1,6,190,0.8653,30.78,8,171,0.94559,16.87
37,21,1,50,164,0.78653,74.34,50,143,0.8792,61.23
